Location,Latitude,Longitude,DistanceToMaranello
Modena,44.3472638,10.990407,22.96
Marzaglia,44.6509626,10.8036088,20.87
Cittanova,44.6502683,10.8502844,21.8
Cognento,44.6363015,10.8718109,16.96
Baggiovara,44.6077642,10.8677507,11.27
Portile,44.5814154,10.9380734,11.72
Paganine,44.5880177,10.9473284,12.99
San Damaso,44.6014911,10.9738615,18.95
Fossalta,44.6270370,10.9723502,17.32
Saliceto Panaro,44.6402591,10.9722372,19.17
Villanova,44.6902899,10.9159603,29.16
Ganaceto,44.7086256,10.9009112,29.04
Tre olmi,44.6850615,10.894286,22.5
Bastiglia,44.726969,10.9986,34.22
Bomporto,44.72977,11.038401,29.9
Campogalliano,44.6905118,10.8407336,30.44
Camposanto,44.7901008,11.1378084,40.28
Carpi,44.7835699,10.8854523,39.12
Castelfranco Emilia,44.5950245,11.0529006,25.64
Castelnuovo Rangone,44.5513342,10.935016,8.32
Castelvetro di Modena,44.5034615,10.9432999,8.041
Cavezzo,44.8365,11.0294353,47.44
Concordia sulla Secchia,44.913174,10.983297,31.38
Fanano,44.2077372,10.7938365,54.61
Finale Emilia,44.834574,11.293905,66.37
Fiorano Modenese,44.539143,10.8118482,5.45
Fiumalbo,44.1799513,10.6477331,63.33
Formigine,44.5751432,10.8470277,5.94
Frassinoro,44.295555,10.570198,54.89
Guiglia,44.4241322,10.962119,22.83
Lama Mocogno,44.3072628,10.7317768,39.84
Maranello,44.5255217,10.8663607,0
Marano sul Panaro,44.4558978,10.9663838,17.43
Medolla,44.846673,11.0676,49.36
Mirandola,44.8872071,11.0661063,55.17
Montecreto,44.245955,10.717602,51.45
Montefiorino,44.352857,10.625599,45.38
Montese,44.2685063,10.9411886,48.35
Nonantola,44.6776083,11.0436236,15.68
Novi di Modena,44.8934392,10.9012535,62.6
Palagano,44.320957,10.6461,50.14
Pavullo nel Frignano,44.339694,10.8341135,26.4
Pievepelago,44.204754,10.616601,58.41
Polinago,44.344758,10.723501,45.24
Prignano sulla Secchia,44.43836,10.691899,31.38
Ravarino,44.72117,11.098403,33.59
Riolunato,44.2299738,10.6515646,53.92
San Cesario sul Panaro,44.5611362,11.033218,19.56
San Felice sul Panaro,44.8394154,11.1431653,56.24
San Possidonio,44.8920894,10.9961365,58.47
San Prospero,44.789671,11.0221,41.35
Sassuolo,44.5409769,10.7829023,11.09
Savignano sul Panaro,44.4805382,11.0351093,21.59
Serramazzoni,44.4224625,10.789147,22.23
Sestola,44.230455,10.771404,54.71
Soliera,44.7381035,10.924393,33.84
Spilamberto,44.533413,11.0240826,15.55
Vignola,44.4784141,11.0090928,15.09
Zocca,44.3472638,10.990407,35.84
